productid,brand,name,price,category,description,comment_count,rating_score
825078371,BİOREAL,"Kakaolu, Pekmez, Arı",240 TL,Gıda ve İçecek,"Sütü, Bal, Ve Vitamin, Iştah,açıcı Kilo Aldırıcı, Organik Macun",511,5.0
771877311,Ergi Çiftliği,Katkısız %100,219 TL,Gıda ve İçecek,Nar Ekşisi 330 gr,61,4.9
224808037,Fondante,Sütlü Fondan 200 Gr.,"49,99 TL",Gıda ve İçecek,(1 Paket),3294,4.7
140456982,Mcnuss,Içi Dolgulu Hurma,200 TL,Gıda ve İçecek,Topları Deneme Paketi 80 Gr X 6 Paket,197,4.3
743144128,Fellas,Meyve Bar 35g Karma,"168,95 TL",Gıda ve İçecek,Kutu 12 Adet (4 Çeşit),1599,4.7
45998815,DETOKSFİT,Detoksfit (30,369 TL,Gıda ve İçecek,Servis),420,4.1
221312301,DOGALBAX,Ile Kilo Al 250 Gr,579 TL,Gıda ve İçecek,,290,
244999069,Organik Teyze,Sevinç Teyze,"99,99 TL",Gıda ve İçecek,Karabaş Otu 40g (LAVANDULA STOECHAS),51,4.5
82504494,KOCATEPE KAHVE,Kocatepe Türk,"329,90 TL",Gıda ve İçecek,Kahvesi 100 Gr Folyo 12'li Paket,896,4.7
121205301,TEA CO,My Name Is Lady T -,"211,34 TL",Gıda ve İçecek,Çilek Ve Ananaslı Beyaz Çay Müslin Çay Poşeti,207,4.5
682779740,HARMANA,Guarana Özlü Premium,299 TL,Gıda ve İçecek,Detox Tea 2 Aylık Kullanım 150 Gr,3164,4.2
342466101,Hilay,Sürülebilir Antep,439 TL,Gıda ve İçecek,Fıstığı Ezmesi 320gr,27,4.7
50899888,Frapella,Antep Fıstık Kreması,"124,89 TL",Gıda ve İçecek,220 Gr.,203,4.2
